Close,High,Low,Open,Volume
MA,MA,MA,MA,MA
145.27601623535156,146.71051046943592,144.52050776697303,145.37164042883254,3168900
147.10263061523438,147.25563226570722,145.51511992806797,145.63943285705014,3732400
149.00567626953125,150.5262364601851,147.580754852505,147.79113388811524,3247200
152.09466552734375,152.09466552734375,149.36913470124006,149.37869274474167,2747700
152.55447387695312,153.71344672101282,151.41464722101568,151.893565001466,3143100
152.77476501464844,153.3590452648381,151.8552364872281,152.91843449608436,2573900
153.1195526123047,153.2249150805882,150.9261161921929,152.51611169255298,2416900
154.13485717773438,154.336009024718,152.71726500346406,153.3494398192331,2804000
155.4854278564453,155.6674189274894,153.49312839857728,154.69042269185792,3041000
155.44711303710938,157.0275503424449,154.50843836253432,156.74019677643759,4673400
157.3914794921875,157.5638828044821,156.0121945322124,156.24206561527188,3136000
158.50257873535156,158.9814963774463,157.19034907294215,157.87999164679107,4150600
159.795654296875,159.91058984835226,158.196071205391,159.2880027906426,2947800
161.1845245361328,161.23241922463652,159.2784270107779,159.55620743485525,2275900
160.14048767089844,161.8262725534101,159.6232484193436,161.3952495873857,3035300
159.968017578125,161.01206883249995,158.95271481982837,160.85881172529233,3912400
161.4814453125,161.80710579791514,160.08301399729078,160.92589909981194,2088900
163.15765380859375,163.17681460600505,161.67300624044825,161.88373116575437,2191600
161.4431915283203,163.6078946989754,161.1941449211948,162.94698580377502,3082800
160.14048767089844,160.91633193282374,159.2880148303944,160.35121260813827,4227100
161.87416076660156,162.51590864419435,159.97765102271492,160.4469809515509,5815300
165.63845825195312,169.26866237345314,163.78984306202872,165.23616916319352,6848400
163.35885620117188,169.6422550793832,163.23433290256853,164.65192542621116,6556500
157.65008544921875,164.70934051566323,157.09453930266704,160.31286602432215,7196000
162.14234924316406,162.21897781667838,150.1885694676451,153.73255695409762,7259900
161.6155242919922,165.33192943197577,160.3894964424851,161.8741438804459,4364800
153.8475341796875,162.1040861736018,153.6942916065557,161.65390231689165,6557700
158.2344207763672,159.4700367489645,151.8839813859878,154.85326264984297,6303000
161.09832763671875,161.70176857584008,158.59837682302557,159.76693710316766,5227400
162.9469451904297,163.56954693765323,159.96807666502167,160.2745909926531,3471000
165.24578857421875,165.37988496286613,161.87420343984326,162.2190248128522,4203700
167.32424926757812,167.33382235893853,164.13465599576065,166.6154458909276,3915000
168.24374389648438,169.22073987457915,166.79741803300087,166.9985698520282,4213100
167.9563751220703,168.990824072994,166.7015989799972,167.50619149740797,3750100
165.0541534423828,168.91422777280675,165.01583185329352,167.9563926612295,5999500
165.65765380859375,166.5005537611763,163.5983132426556,166.0312090847773,5605800
168.34912109375,168.3682818913841,165.21701029696416,166.56754691434054,3093800
170.37013244628906,170.62875202757328,168.63645317350384,169.05790297547682,4088100
168.51193237304688,171.61532354727683,168.51193237304688,170.22646549091573,3815900
168.34912109375,171.42377872844602,168.33954800263606,168.85677261550694,4145700
166.1748046875,169.87204848950148,164.8912946390436,168.91421345909075,4658500
167.64035034179688,167.93727696766337,162.13279697112768,164.32623353492778,4190100
171.0023651123047,171.71116862091608,165.61933445342524,166.7878948948446,4826500
170.0445098876953,172.49656606500622,169.48896362636586,171.62493238177856,3820900
171.6536102294922,172.13252771121395,168.14793075559245,168.34906791329067,2766100
171.69195556640625,172.30496949538838,170.07321177797087,171.78774493031796,2235300
175.5137481689453,175.59994983949292,172.38162260038604,172.64981531902768,4168900
174.8432159423828,175.78190488075637,174.03863795126605,175.12099631112332,3589000
173.37779235839844,175.98310599393832,172.55405327340554,175.73407403444162,3286600
172.52529907226562,174.3260342124899,172.04638139585768,174.31646112050848,2820700
173.3203125,174.48887285583757,172.42953259445943,172.95634498691217,2258200
174.85279846191406,175.44665154030716,173.37772423987474,173.37772423987474,4605000
172.9658660888672,174.61334364893034,171.55784730654108,174.12483838848826,3770000
174.81451416015625,175.523317538913,173.57891306228473,173.6651147310046,2859300
173.12875366210938,175.76280108988698,173.1191805693737,175.24557638939413,3238400
168.1192169189453,172.65934583308075,167.72650102941782,171.64404298925135,4387300
164.58485412597656,169.4123379818497,164.42202386618843,168.75142923509273,4324100
169.69969177246094,169.98704530827547,165.7629877934035,167.93727818873023,5470100
165.24578857421875,170.97364091131374,163.76114059000204,170.83954452266636,5069100
163.16726684570312,165.6384693253754,161.44316019618077,164.9871482663383,5166600
167.7744903564453,169.21124378344416,163.6174872820274,164.47953349206207,3719200
164.36453247070312,168.35870365405918,161.91246198770847,167.2763451596134,4222400
165.1978759765625,165.60016509891847,162.65003025289934,165.09251349579722,3612600
166.36642456054688,166.67292427305188,160.85887128875822,162.04657777090048,4628300
168.3874969482422,169.95834670606752,167.18061477030804,167.74574886706955,3434100
162.77615356445312,168.00378795529784,162.06635529578517,166.29641400212248,5005500
163.38999938964844,166.98699663564926,163.19816246377226,164.28206231749067,3910700
167.59127807617188,168.29148936345248,165.00144327651384,166.0757416500093,3149900
165.32762145996094,168.4354330160364,165.09740831780715,166.61294523881924,2783000
167.6680145263672,169.27946207470436,166.09492850413534,166.25799060346344,3065600
167.1596221923828,168.91495820656118,165.65367266164563,168.81903244727522,3059600
166.77597045898438,168.9149953443788,165.9126969804743,168.45456916203554,4668200
171.06361389160156,171.87893921897125,167.5433539238606,168.59847909619538,4210200
172.137939453125,172.46406375289402,169.84545335685362,171.21710154270554,3150600
171.70626831054688,172.2434322345154,170.98686880669408,171.7734192896256,3560400
169.85501098632812,172.16668477372295,169.29867364519868,171.24584702104193,4233000
168.27235412597656,171.07322942711406,167.5721426188033,170.8909791880446,4355000
